GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PetWay,app,AppMain,5,3,0,0,2,1,1,1,1,1
PetWay,app.service,ProdutosService,0,93,0,8,0,22,0,13,0,9
PetWay,app.service,AnimaisService,73,3,4,0,18,1,10,1,8,1
PetWay,app.service,ServicosService,5,82,3,7,1,19,3,10,0,8
PetWay,app.service,ClienteService,14,78,3,3,2,22,3,10,1,9
PetWay,app.service,AgendamentoService,154,3,12,0,33,1,19,1,13,1
PetWay,app.controller,ClienteController,11,95,0,4,2,20,1,9,1,7
PetWay,app.controller,ServicosController,0,106,0,4,0,22,0,10,0,8
PetWay,app.controller,AgendamentoController,45,125,3,5,9,24,5,12,3,10
PetWay,app.controller,ProdutosController,0,131,0,6,0,28,0,12,0,9
PetWay,app.controller,AnimaisController,4,118,1,3,1,24,1,11,0,10
PetWay,app.auth,Login,3,0,0,0,1,0,1,0,1,0
PetWay,app.auth,LoginController,11,3,0,0,2,1,1,1,1,1
PetWay,app.auth,LoginService,32,3,0,0,8,1,2,1,2,1
PetWay,app.auth,Usuario,20,3,0,0,5,1,3,1,3,1
PetWay,app.entity,Animais,0,7,0,0,0,3,0,2,0,2
PetWay,app.entity,Agendamento,0,5,0,0,0,2,0,1,0,1
PetWay,app.config,SecurityManager,13,27,0,0,1,8,2,5,2,5
PetWay,app.config,JwtServiceGenerator,140,6,4,0,31,2,11,2,9,2
PetWay,app.config,SecurityConfig,0,131,0,0,0,22,0,5,0,5
PetWay,app.config,JwtAuthenticationFilter,63,3,10,0,16,1,6,1,1,1
PetWay,app.config,GlobalExceptionHandler,66,3,4,0,12,1,5,1,3,1
PetWay,app.dto,ServicosMaisAgendadosDTO,23,0,0,0,10,0,5,0,5,0
